round,date,min_since_start,ss,direction,speed
1,9/16/2015,115,15,182,0
1,9/16/2015,115,20,182,0
1,9/16/2015,115,25,182,0
1,9/16/2015,115,30,182,0
1,9/16/2015,115,35,182,0
1,9/16/2015,120,40,182,0
1,9/16/2015,120,45,182,0
1,9/16/2015,120,0,206,0
1,9/16/2015,120,5,206,0
1,9/16/2015,120,10,206,0.1
1,9/16/2015,120,15,206,0
1,9/16/2015,120,20,206,0
1,9/16/2015,120,25,206,0
1,9/16/2015,120,30,206,0
1,9/16/2015,125,35,206,0.5
1,9/16/2015,125,40,206,1.1
1,9/16/2015,125,45,206,0
1,9/16/2015,125,0,195,0
1,9/16/2015,125,5,195,0
1,9/16/2015,125,10,195,0
1,9/16/2015,125,15,195,0
1,9/16/2015,125,20,195,0
1,9/16/2015,125,25,195,0
1,9/16/2015,130,30,195,0
1,9/16/2015,130,35,195,0
1,9/16/2015,130,40,195,0.3
1,9/16/2015,130,45,195,0
1,9/16/2015,130,0,209,0.8
1,9/16/2015,130,5,209,0
1,9/16/2015,130,10,209,0
1,9/16/2015,130,15,209,0
1,9/16/2015,130,20,209,0
1,9/16/2015,135,25,209,0
1,9/16/2015,135,30,209,0.2
1,9/16/2015,135,35,209,0.4
1,9/16/2015,135,40,209,0.8
1,9/16/2015,135,45,209,
1,9/16/2015,135,0,206,0
1,9/16/2015,135,5,206,0
1,9/16/2015,135,10,206,0
1,9/16/2015,135,15,206,0
1,9/16/2015,140,20,206,0
1,9/16/2015,140,25,206,0
1,9/16/2015,140,30,206,0
1,9/16/2015,140,35,206,0
1,9/16/2015,140,40,206,0
1,9/16/2015,140,45,206,0.2
1,9/16/2015,140,0,227,0
1,9/16/2015,140,5,227,0
1,9/16/2015,140,10,227,0
1,9/16/2015,145,15,227,0
1,9/16/2015,145,20,227,0
1,9/16/2015,145,25,227,0.9
1,9/16/2015,145,30,227,1
1,9/16/2015,145,35,227,1
1,9/16/2015,145,40,227,1
1,9/16/2015,145,45,227,1.4
1,9/16/2015,145,0,205,0
1,9/16/2015,145,5,205,0
1,9/16/2015,150,10,205,0
1,9/16/2015,150,15,205,0
1,9/16/2015,150,20,205,0
1,9/16/2015,150,25,205,0
1,9/16/2015,150,30,205,0
1,9/16/2015,150,35,205,1.1
1,9/16/2015,150,40,205,0.4
1,9/16/2015,150,45,205,0
1,9/16/2015,150,0,199,1.1
1,9/16/2015,155,5,199,1
1,9/16/2015,155,10,199,1.4
1,9/16/2015,155,15,199,1
1,9/16/2015,155,20,199,1.3
1,9/16/2015,155,25,199,2.4
1,9/16/2015,155,30,199,1.5
1,9/16/2015,155,35,199,0
1,9/16/2015,155,40,199,0.2
1,9/16/2015,155,45,199,0
